,Team,TrainAccuracy,TestAccuracy,TestSize,Type
0,MIN,99.76076555023924,44.680851063829785,47.0,Home
1,NJN,99.52606635071089,56.52173913043478,23.0,Home
2,MEM,98.1981981981982,59.183673469387756,49.0,Home
3,ORL,98.22222222222223,48.0,50.0,Home
4,CLE,98.74739039665971,50.943396226415096,53.0,Home
5,PHI,99.08675799086758,51.02040816326531,49.0,Home
6,CHA,98.13953488372093,43.75,48.0,Home
7,DET,99.08883826879271,51.02040816326531,49.0,Home
8,UTA,97.9955456570156,56.00000000000001,50.0,Home
9,GSW,99.15611814345992,49.056603773584904,53.0,Home
10,BOS,98.15573770491804,66.66666666666666,54.0,Home
11,PHX,99.53271028037383,34.04255319148936,47.0,Home
12,LAC,99.77324263038548,48.97959183673469,49.0,Home
13,DAL,98.66369710467706,46.0,50.0,Home
14,TOR,98.88143176733782,32.0,50.0,Home
15,MIA,99.3723849372385,50.943396226415096,53.0,Home
16,SAS,98.37728194726166,58.18181818181818,55.0,Home
17,CHI,99.34065934065934,60.78431372549019,51.0,Home
18,IND,98.89624724061811,36.0,50.0,Home
19,ATL,99.35344827586206,48.07692307692308,52.0,Home
20,DEN,98.65168539325843,44.89795918367347,49.0,Home
21,WAS,98.65470852017937,52.0,50.0,Home
22,HOU,99.34497816593887,49.01960784313725,51.0,Home
23,NYK,100.0,58.333333333333336,48.0,Home
24,MIL,99.30394431554525,54.166666666666664,48.0,Home
25,POR,99.31818181818181,38.775510204081634,49.0,Home
27,SAC,99.28400954653938,42.5531914893617,47.0,Home
28,LAL,99.34782608695653,37.254901960784316,51.0,Home
29,NOH,100.0,58.333333333333336,24.0,Home
30,OKC,99.4949494949495,47.72727272727273,44.0,Home
31,BKN,99.11111111111111,56.00000000000001,25.0,Home
32,NOP,100.0,55.00000000000001,20.0,Home
33,MIN,99.29245283018868,59.57446808510638,47.0,Away
34,NJN,98.13084112149532,50.0,24.0,Away
35,MEM,99.33774834437085,50.0,50.0,Away
36,ORL,99.33481152993349,46.0,50.0,Away
37,CLE,99.17355371900827,48.148148148148145,54.0,Away
38,PHI,99.54128440366972,42.857142857142854,49.0,Away
39,CHA,99.29906542056075,41.66666666666667,48.0,Away
40,DET,99.54337899543378,53.06122448979592,49.0,Away
41,UTA,98.66369710467706,57.99999999999999,50.0,Away
42,GSW,99.13978494623656,59.61538461538461,52.0,Away
43,BOS,99.38271604938271,51.85185185185185,54.0,Away
44,PHX,99.54022988505747,47.91666666666667,48.0,Away
45,LAC,99.55156950672645,44.0,50.0,Away
46,DAL,99.32885906040269,56.00000000000001,50.0,Away
47,TOR,98.89867841409692,52.0,50.0,Away
48,MIA,99.15433403805497,43.39622641509434,53.0,Away
49,SAS,98.97330595482546,42.592592592592595,54.0,Away
50,CHI,99.33920704845815,45.09803921568628,51.0,Away
51,IND,99.1130820399113,36.0,50.0,Away
52,ATL,99.13419913419914,52.94117647058824,51.0,Away
53,DEN,98.17351598173516,44.89795918367347,49.0,Away
54,WAS,98.4090909090909,44.89795918367347,49.0,Away
55,HOU,98.68131868131869,43.13725490196079,51.0,Away
56,NYK,98.6046511627907,41.66666666666667,48.0,Away
57,MIL,98.62700228832952,42.857142857142854,49.0,Away
58,POR,98.63636363636363,51.02040816326531,49.0,Away
60,SAC,97.58454106280193,39.130434782608695,46.0,Away
61,LAL,98.49137931034483,45.09803921568628,51.0,Away
62,NOH,98.63013698630137,66.66666666666666,24.0,Away
63,OKC,100.0,59.09090909090909,44.0,Away
64,BKN,99.11111111111111,52.0,25.0,Away
65,NOP,98.91304347826086,65.0,20.0,Away
66,MIN,99.04988123515439,51.06382978723404,94.0,Total
67,NJN,98.82352941176471,48.93617021276596,47.0,Total
68,MEM,98.32589285714286,53.0,100.0,Total
69,ORL,97.55826859045506,52.0,100.0,Total
70,CLE,98.4423676012461,41.1214953271028,107.0,Total
71,PHI,98.62857142857143,49.48453608247423,97.0,Total
72,CHA,97.78812572759023,50.526315789473685,95.0,Total
73,DET,97.60820045558086,48.45360824742268,97.0,Total
74,UTA,98.21826280623608,54.0,100.0,Total
75,GSW,98.72340425531915,52.88461538461539,104.0,Total
76,BOS,98.04928131416838,45.370370370370374,108.0,Total
77,PHX,98.25986078886311,47.91666666666667,96.0,Total
78,LAC,99.09808342728297,53.535353535353536,99.0,Total
79,DAL,98.21428571428571,52.0,100.0,Total
80,TOR,98.55715871254162,42.0,100.0,Total
81,MIA,98.73817034700315,50.943396226415096,106.0,Total
82,SAS,98.36734693877551,44.95412844036697,109.0,Total
83,CHI,98.68131868131869,49.504950495049506,101.0,Total
84,IND,98.34070796460178,51.0,100.0,Total
85,ATL,98.16414686825054,51.45631067961165,103.0,Total
86,DEN,97.73499433748584,43.87755102040816,98.0,Total
87,WAS,98.30699774266365,46.464646464646464,99.0,Total
88,HOU,99.01531728665208,41.584158415841586,101.0,Total
89,NYK,98.60627177700349,44.79166666666667,96.0,Total
90,MIL,98.84792626728111,53.608247422680414,97.0,Total
91,POR,98.4090909090909,46.93877551020408,98.0,Total
93,SAC,98.31932773109243,44.086021505376344,93.0,Total
94,LAL,97.94149512459371,41.74757281553398,103.0,Total
95,NOH,99.08256880733946,56.25,48.0,Total
96,OKC,98.8607594936709,50.0,88.0,Total
97,BKN,98.66666666666667,52.0,50.0,Total
98,NOP,98.9041095890411,58.536585365853654,41.0,Total
